groupuser_id,group_id,nickname,creation_date
9567499,1671684,U1083,25/7/2021
6619365,1671684,U1095,25/7/2021
4812970,1671684,U1048,25/7/2021
3491629,1671684,U1061,25/7/2021
9843330,7683527,U1093,25/1/2022
7564251,7683527,U1066,25/1/2022
9284541,7683527,U1040,25/1/2022
4326442,9240311,U1070,20/1/2022
7967684,9240311,U1082,20/1/2022
3876267,9240311,U1123,20/1/2022
4207716,9240311,U1080,20/1/2022
8211209,9240311,U1050,20/1/2022
1537017,700704,U1083,21/11/2022
7398461,700704,U1134,21/11/2022
5450775,700704,U1046,21/11/2022
7967196,6639897,U1055,15/9/2021
7390178,6639897,U1053,15/9/2021
7804434,6639897,U1018,15/9/2021
412576,6639897,U1022,15/9/2021
311539,6639897,U1116,15/9/2021
801645,6639897,U1132,15/9/2021
9419074,6639897,U1036,15/9/2021
4875161,6639897,U1071,15/9/2021
7514252,6639897,U1104,15/9/2021
6396825,6639897,U1007,15/9/2021
653107,6639897,U1054,15/9/2021
9142324,6639897,U1001,15/9/2021
8731923,9496023,U1070,7/3/2022
296848,9496023,U1082,7/3/2022
2465083,9496023,U1123,7/3/2022
1701396,9496023,U1080,7/3/2022
2481314,306486,U1055,1/10/2022
9558858,306486,U1126,1/10/2022
1851272,306486,U1024,1/10/2022
1941552,4245773,U1033,2/12/2022
8684359,4245773,U1089,2/12/2022
3164176,4245773,U1027,2/12/2022
1169167,4245773,U1086,2/12/2022
1055160,3419665,U1138,21/6/2022
6874339,3419665,U1027,21/6/2022
8429681,3419665,U1090,21/6/2022
2615289,1748008,U1116,11/9/2022
687908,1748008,U1075,11/9/2022
804701,1748008,U1024,11/9/2022
1975032,1748008,U1036,11/9/2022
6420782,1748008,U1071,11/9/2022
3952043,1748008,U1104,11/9/2022
8715576,1748008,U1106,11/9/2022
94904,1748008,U1045,11/9/2022
5834794,1748008,U1009,11/9/2022
2624104,1748008,U1016,11/9/2022
9106567,1748008,U1099,11/9/2022
3429086,1748008,U1135,11/9/2022
3733685,1748008,U1032,11/9/2022
9224600,1748008,U1062,11/9/2022
8004916,1748008,U1078,11/9/2022
6800036,304509,U1083,3/3/2021
4957171,304509,U1134,3/3/2021
4547053,304509,U1046,3/3/2021
3999951,5366125,U1084,14/8/2021
8760487,5366125,U1095,14/8/2021
206449,5366125,U1034,14/8/2021
1877312,2625043,U1120,26/12/2021
7629114,2625043,U1037,26/12/2021
3912620,2625043,U1069,26/12/2021
1351004,2625043,U1111,26/12/2021
5865281,3145808,U1120,13/12/2021
2164798,3145808,U1037,13/12/2021
8585453,3145808,U1069,13/12/2021
6416637,3145808,U1111,13/12/2021
1008150,7296617,U1068,14/9/2021
2536622,7296617,U1067,14/9/2021
4570895,7296617,U1103,14/9/2021
7058851,7317109,U1103,20/10/2022
5684436,7317109,U1070,20/10/2022
3218355,7317109,U1082,20/10/2022
2695886,7317109,U1123,20/10/2022
4881506,7317109,U1028,20/10/2022
567439,8482302,U1070,25/5/2022
2520283,8482302,U1082,25/5/2022
7190800,8482302,U1123,25/5/2022
6309552,8482302,U1080,25/5/2022
1591904,8482302,U1050,25/5/2022
9282181,4372254,U1095,26/3/2022
8868045,4372254,U1099,26/3/2022
3942443,4372254,U1128,26/3/2022
1208216,4372254,U1062,26/3/2022
948506,4372254,U1032,26/3/2022
1958769,4372254,U1085,26/3/2022
6002713,4372254,U1109,26/3/2022
168300,4372254,U1122,26/3/2022
4007367,4372254,U1089,26/3/2022
777452,7054751,U1023,21/4/2022
2735552,7054751,U1021,21/4/2022
7149374,7054751,U1080,21/4/2022
7550716,8166040,U1093,4/10/2022
1652147,8166040,U1066,4/10/2022
1200527,8166040,U1040,4/10/2022
8056937,8166040,U1110,4/10/2022
7826859,9268054,U1083,20/7/2021
5738788,9268054,U1048,20/7/2021
311069,9268054,U1003,20/7/2021
1482974,9268054,U1137,20/7/2021
1008161,1792641,U1072,2/4/2021
