index_id,product_id,ticket_id,paid_by,item,rating,food_rating,service_rating,price
0,2856455,5596908,U1108,Mexican-style Lasagna,1,1,1,8
1,2856455,5596908,U1083,Fried Rice,1,1,1,8
2,2856455,5596908,U1083,Mexican-style Lasagna,1,1,1,8
3,2856455,7386672,U1019,Lemon Focaccia,1,2,1,5
4,2856455,7386672,U1009,Baked Italian Chicken Breasts,1,2,1,5
5,2856455,7386672,U1019,The Best Chinese Sesame Chicken,1,2,2,3
6,2856455,7386672,U1134,"Prosciutto, Nectarine and Fontina Panini on Rosemary Focaccia",1,2,2,3
7,2856455,7386672,U1013,Sesame Beef and Asian Vegetable Stir-Fry,1,2,2,3
8,2856455,7386672,U1009,Cowboy Nachos,0,0,0,11
9,2856455,7386672,U1019,Roasted Vegetables,0,0,0,11
10,2856455,7386672,U1032,Lemon Asparagus,0,0,0,11
11,2856455,7386672,U1009,Pesto Tofu Pasta,0,0,0,11
12,2856455,7386672,U1106,Sherry's Wild West Soup,0,0,0,11
13,2856455,7386672,U1134,Mexican-style Lasagna,0,0,0,11
14,2856455,8457097,U1027,Grilled Teriyaki-Glazed Salmon,2,2,2,9
15,2856455,8457097,U1027,The Best Chinese Sesame Chicken,2,2,2,9
16,2856455,8457097,U1027,Mexican Beef and Cheese Wontons with Salsa,2,2,2,9
17,2856455,8457097,U1090,Sweet and Spicy Chinese Takeout Chicken,2,2,2,9
18,2856455,8457097,U1090,Cotija and Corn Tacos with Lime and Mango,1,2,1,10
19,2856455,393396,U1123,Cotija and Corn Tacos with Lime and Mango,0,0,0,2
20,2856455,393396,U1080,Cilantro-Lime Rice,1,1,1,4
21,2856455,393396,U1070,Mexican Ham and Bean Soup,1,1,1,4
22,2856455,393396,U1082,Mexican Bean Pizza,1,1,1,4
23,2856455,393396,U1070,Cotija and Corn Tacos with Lime and Mango,2,2,1,3
24,2856455,393396,U1082,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,4
25,2856455,393396,U1123,Mexican Ham and Bean Soup,1,1,1,6
26,2856455,393396,U1070,Mexican-style Lasagna,1,1,1,6
27,2856455,393396,U1082,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,6
28,2856455,393396,U1070,Cotija and Corn Tacos with Lime and Mango,1,1,1,6
29,2856455,393396,U1123,Mexican Ham and Bean Soup,1,1,1,6
30,2856455,393396,U1123,Mexican-style Lasagna,0,0,0,2
31,2856455,393396,U1080,Mexican-style Lasagna,1,1,0,12
