,item
0,tropical fruit
1,whole milk
2,pip fruit
3,other vegetables
4,whole milk
5,rolls/buns
6,other vegetables
7,pot plants
8,whole milk
9,tropical fruit
10,citrus fruit
11,beef
12,frankfurter
13,chicken
14,butter
15,fruit/vegetable juice
16,packaged fruit/vegetables
17,chocolate
18,specialty bar
19,other vegetables
20,butter milk
21,whole milk
22,tropical fruit
23,tropical fruit
24,bottled water
25,yogurt
26,sausage
27,other vegetables
28,brown bread
29,yogurt
30,hamburger meat
31,root vegetables
32,pork
33,beef
34,pastry
35,fruit/vegetable juice
36,canned beer
37,root vegetables
38,citrus fruit
39,sausage
40,tropical fruit
41,berries
42,canned beer
43,butter milk
44,coffee
45,pastry
46,rolls/buns
47,misc. beverages
48,root vegetables
49,sausage
50,canned beer
51,ham
52,turkey
53,whole milk
54,whole milk
55,packaged fruit/vegetables
56,rolls/buns
57,ham
58,rolls/buns
59,other vegetables
60,sausage
61,sausage
62,frankfurter
63,rolls/buns
64,whole milk
65,curd cheese
66,red/blush wine
67,sausage
68,tropical fruit
69,red/blush wine
70,whole milk
71,frankfurter
72,whole milk
73,frozen potato products
74,other vegetables
75,citrus fruit
76,flour
77,sugar
78,frozen meals
79,chocolate
80,root vegetables
81,root vegetables
82,herbs
83,bottled water
84,sausage
85,coffee
86,pork
87,berries
88,soda
89,berries
90,fruit/vegetable juice
91,citrus fruit
92,pork
93,detergent
94,grapes
95,sausage
96,chicken
97,whole milk
98,citrus fruit
99,soda
100,sausage
101,frankfurter
102,sausage
103,soda
104,rolls/buns
105,beef
106,whole milk
107,processed cheese
108,tropical fruit
109,frankfurter
110,packaged fruit/vegetables
111,whole milk
112,berries
113,citrus fruit
114,tropical fruit
115,hamburger meat
116,hamburger meat
117,whole milk
118,fish
119,frankfurter
120,packaged fruit/vegetables
121,pastry
122,other vegetables
123,misc. beverages
124,frankfurter
125,sparkling wine
126,specialty bar
127,sausage
128,curd cheese
129,frankfurter
130,whole milk
131,newspapers
132,berries
133,curd
134,tropical fruit
135,soda
136,rolls/buns
137,canned beer
138,canned beer
139,frankfurter
140,other vegetables
141,whole milk
142,whole milk
143,citrus fruit
144,frankfurter
145,frankfurter
146,butter milk
147,hamburger meat
148,pasta
149,other vegetables
150,sausage
151,rolls/buns
152,grapes
153,root vegetables
154,coffee
155,popcorn
156,whole milk
157,tropical fruit
158,beef
159,whole milk
160,frankfurter
161,tropical fruit
162,canned beer
163,finished products
164,beverages
165,hamburger meat
166,whole milk
167,finished products
168,other vegetables
169,ham
170,other vegetables
171,curd
172,bottled beer
173,curd
174,whole milk
175,whole milk
176,dessert
177,sausage
178,other vegetables
179,ham
180,other vegetables
181,other vegetables
182,soda
183,herbs
184,frankfurter
185,rolls/buns
186,curd
187,frankfurter
188,other vegetables
189,dog food
190,specialty bar
191,curd
192,frankfurter
193,soda
194,beef
195,canned beer
196,pork
197,frankfurter
198,sausage
199,canned beer
200,specialty chocolate
201,curd
202,canned beer
203,whole milk
204,rolls/buns
205,pork
206,citrus fruit
207,pot plants
208,rolls/buns
209,butter
210,condensed milk
211,sausage
212,whole milk
213,sausage
214,beverages
215,beverages
216,bottled water
217,newspapers
218,cleaner
219,sausage
220,newspapers
221,sausage
222,misc. beverages
223,white wine
224,sausage
225,meat
226,frankfurter
227,ice cream
228,canned beer
229,tropical fruit
230,meat
231,whole milk
232,sausage
233,frankfurter
234,meat
235,root vegetables
236,root vegetables
237,whole milk
238,citrus fruit
239,citrus fruit
240,other vegetables
241,citrus fruit
242,sausage
243,frankfurter
244,hard cheese
245,cream cheese 
246,turkey
247,pork
248,whole milk
249,rolls/buns
250,sausage
251,ice cream
252,liquor
253,pip fruit
254,root vegetables
255,soda
256,soda
257,sausage
258,root vegetables
259,pork
260,pork
261,chocolate
262,fruit/vegetable juice
263,pickled vegetables
264,bottled water
265,frankfurter
266,tropical fruit
267,canned beer
268,root vegetables
269,meat
270,frankfurter
271,tropical fruit
272,tropical fruit
273,citrus fruit
274,hamburger meat
275,chicken
276,chicken
277,frankfurter
278,canned beer
279,turkey
280,packaged fruit/vegetables
281,pasta
282,citrus fruit
283,sausage
284,whole milk
285,canned beer
286,citrus fruit
287,liquor (appetizer)
288,citrus fruit
289,sausage
290,chicken
291,hamburger meat
292,sausage
293,beef
294,citrus fruit
295,UHT-milk
296,candy
297,newspapers
298,beef
299,sausage
300,frankfurter
301,canned beer
302,bottled beer
303,onions
304,tropical fruit
305,bottled water
306,beef
307,sausage
308,hair spray
309,chicken
310,pork
311,ice cream
312,meat
313,other vegetables
314,bottled water
315,tropical fruit
316,photo/film
317,sausage
318,grapes
319,domestic eggs
320,rolls/buns
321,tropical fruit
322,chicken
323,frankfurter
324,berries
325,margarine
326,tropical fruit
327,ham
328,hamburger meat
329,yogurt
330,soda
331,yogurt
332,soda
333,bottled water
334,sausage
335,citrus fruit
336,shopping bags
337,newspapers
338,frankfurter
339,sausage
340,frankfurter
341,salt
342,oil
343,curd
344,other vegetables
345,citrus fruit
346,frankfurter
347,root vegetables
348,tropical fruit
349,beef
350,berries
351,canned beer
352,whipped/sour cream
353,root vegetables
354,whole milk
355,beef
356,frozen vegetables
357,rolls/buns
358,whole milk
359,whole milk
